"","baker","baker_age","series","episode","technical","result","signature_bake","show_stopper","baker_occupation","hometown"
"41","jo",41,2,1,11,"in","chocolate orange cupcakesorange and cardamom cupcakes","chocolate and strawberry cake","housewife","ongar, essex"
"42","mary-anne",45,2,1,4,"in","banoffee cupcakes","chocolate and raspberry opera cake","housewife","kidderminster, worcestershire"
"43","robert",25,2,1,3,"in","blackberry and vanilla cupcakeswith liquorice frosting","genoise layered mousse cakewith chocolate ganache","photographer","london"
"44","simon",31,2,1,9,"in","guinness and chocolate cupcakes","two-tiered chocolate courgette cake","rugby coach","norfolk"
"45","urvashi",40,2,1,7,"in","cherry blossom cupcakesjapanese lime cupcakes",NA,"head of marketing","enfield, london"
"46","yasmin",43,2,1,5,"in","cardamom and pomegranate cupcakes",NA,"childminder","west kirby, the wirral"
"47","keith",31,2,1,12,"out","earl grey cupcakes","chocolate and sour cream cake","house husband","arlesey, bedfordshire"
"48","holly",31,2,1,1,"star baker","cherry bakewell inspired cupcakesginger cupcakes with fig truffle",NA,"advertising executive","leicester"
"49","ben",31,2,2,1,"in","chorizo, pepper and gruyere quiche","lemon meringue tarts","graphic designer","northampton"
"50","holly",31,2,2,4,"in","pesto quiche","milk chocolate and pistachio tartstrifle tarts","advertising executive","leicester"
"51","ian",40,2,2,2,"in","stilton, spinach and new potato quichewith paprika and walnut pastry",NA,"fundraiser for english heritage","dunstable, bedfordshire"
"52","janet",63,2,2,8,"in","quiche printanière","red fruit tartschocolate and cherry tarts","teacher of modern languages","formby, liverpool"
"53","jo",41,2,2,10,"in","caramelised onion, gruyere and thyme quiche","raspberry and mascarpone tarts with lemon and almond pastryhoney and almond tarts with sweetcrust","housewife","ongar, essex"
"54","mary-anne",45,2,2,9,"in","roasted cauliflower, cheese andcaramelised onion quiche","butterscotch brulée tarts in pecan pastryapple rose tarts","housewife","kidderminster, worcestershire"
"55","robert",25,2,2,5,"in","smoked bacon and kale quiche","chocolate, fennel and ginger tartalmond, creme patissiere and poached pear tart","photographer","london"
"56","urvashi",40,2,2,7,"in","crab, coriander and coconut quiche","strawberry and basil tartselderflower and honeycomb tarts","head of marketing","enfield, london"
"57","yasmin",43,2,2,6,"in","smoked haddock and watercress quiche","chocolate and orange with cinnamon-orange pastry tartsblueberry and hazelnut with hazelnut pastry tarts","childminder","west kirby, the wirral"
"58","simon",31,2,2,11,"out","smoked haddock and watercress quiche","passion fruit and ricotta tartssalted chocolate, stem ginger and mascarpone cream tarts","rugby coach","norfolk"
"59","jason",19,2,2,3,"star baker","salmon and pak choi quiche","mint chocolate tarts blueberry bakewell tarts","civil engineering student","croydon"
"60","ben",31,2,3,3,"in","walnut, raisin and rosemary loaf",NA,"graphic designer","northampton"
"61","holly",31,2,3,6,"in","picnic loaf","stilton and walnut rolls","advertising executive","leicester"
"62","janet",63,2,3,8,"in","zupfe loaf with gruyère cheese","apple and walnut granary rolls red onion cottage rolls","teacher of modern languages","formby, liverpool"
"63","jason",19,2,3,7,"in","cheese and onion tear and share loaf",NA,"civil engineering student","croydon"
"64","jo",41,2,3,1,"in","stromboli flavored with mozzarella, ham, and picante pepper",NA,"housewife","ongar, essex"
"65","mary-anne",45,2,3,5,"in","ploughman's loaf","herb and walnut breadschocolate and chilli buns","housewife","kidderminster, worcestershire"
"66","robert",25,2,3,4,"in","rye and coriander seed loaf","blueberry brioche rollslemon and poppy seed rolls","photographer","london"
"67","ian",40,2,3,10,"out","courgette, caerphilly cheese and thyme loaf","walnut and raisin rollscracked wheat logs","fundraiser for english heritage","dunstable, bedfordshire"
